Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
258,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,28-307,1992,6,2,195,2.2,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
259,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,20-059,2001,20,12,1000,11.1,0,0.36,0.36,0,0.36,0.09,0.21,0.3,0.09,0.3
260,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,19-242,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0
261,Kenedy\Kenedy,br BRA,FWMF,Granada,25-070,1996,25,17,1373,15.3,0.2,0.13,0.33,0.2,0.33,0.13,0.12,0.25,0.13,0.25
262,Kike\Kike,es ESP,FW,Eibar,31-145,1989,30,29,2474,27.5,0.29,0.07,0.36,0.29,0.36,0.31,0.06,0.37,0.31,0.37
263,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,21-294,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0
264,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Valladolid,27-243,1993,10,2,312,3.5,0,0,0,0,0,0.17,0.04,0.21,0.17,0.21
265,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,27-243,1993,3,0,44,0.5,2.05,0,2.05,0,0,1.6,0,1.6,0.04,0.04
266,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,19-174,2001,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0
267,Koke\Koke,es ESP,MF,Atlético Madrid,29-101,1992,30,28,2455,27.3,0.04,0.07,0.11,0.04,0.11,0.05,0.08,0.13,0.05,0.13
268,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MFFW,Atlético Madrid,28-063,1993,19,3,465,5.2,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07
269,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,28-063,1993,5,5,440,4.9,0,0,0,0,0,0.01,0,0.01,0.01,0.01
270,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,25-288,1995,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0
271,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,22-158,1998,27,26,2350,26.1,0.08,0.04,0.11,0.08,0.11,0.07,0.03,0.1,0.07,0.1
272,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,31-105,1990,27,23,2027,22.5,0.13,0.36,0.49,0.13,0.49,0.1,0.28,0.37,0.1,0.37
273,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Villarreal,19-319,2001,13,2,299,3.3,0,0,0,0,0,0.41,0.16,0.57,0.41,0.57
