Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
504,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,35-327,1985,24,14,1221,13.6,0.44,0,0.44,0.37,0.37,0.26,0.05,0.3,0.2,0.25
505,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,24-107,1997,26,25,2200,24.4,0.33,0.2,0.53,0.04,0.25,0.33,0.13,0.47,0.08,0.21
506,Son\Son,es ESP,DFMF,Levante,27-020,1994,24,8,884,9.8,0,0,0,0,0,0.05,0.07,0.12,0.05,0.12
507,David Soria\David-Soria,es ESP,GK,Getafe,28-015,1993,22,22,1980,22,0,0,0,0,0,0,0,0,0,0
508,Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,22-041,1999,12,1,255,2.8,0.35,0.71,1.06,0.35,1.06,0.26,0.06,0.32,0.26,0.32
509,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,32-357,1988,24,21,1847,20.5,0.05,0,0.05,0.05,0.05,0.01,0.02,0.03,0.01,0.03
510,Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,27-103,1994,28,27,2251,25,0,0.28,0.28,0,0.28,0.03,0.13,0.16,0.03,0.16
511,Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,34-085,1987,26,25,2046,22.7,0.84,0.09,0.92,0.7,0.79,0.54,0.1,0.65,0.44,0.55
512,Suso\Suso,es ESP,FW,Sevilla,27-151,1993,27,21,1705,18.9,0.16,0.16,0.32,0.16,0.32,0.09,0.11,0.21,0.09,0.21
513,Tachi\Tachi,es ESP,DF,Alavés,23-221,1997,11,7,760,8.4,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
514,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,25-265,1995,29,29,2493,27.7,0,0.04,0.04,0,0.04,0.03,0.02,0.04,0.03,0.04
515,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,20-043,2001,3,0,65,0.7,0,0,0,0,0,0,0,0,0,0
516,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,24-273,1996,2,1,110,1.2,0,0,0,0,0,0.03,0.16,0.18,0.03,0.18
517,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,29-251,1991,23,10,1067,11.9,0.42,0.25,0.67,0.42,0.67,0.18,0.24,0.42,0.18,0.42
518,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,28-354,1992,24,24,2160,24,0,0,0,0,0,0,0,0,0,0
519,David Timor\David-Timor,es ESP,MFDF,Getafe,31-184,1989,26,11,1036,11.5,0,0,0,0,0,0.04,0.07,0.1,0.04,0.1
520,Toño\Tono,es ESP,DF,Levante,31-163,1989,9,6,485,5.4,0,0,0,0,0,0.01,0,0.01,0.01,0.01
521,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,25-067,1996,17,3,485,5.4,0.19,0,0.19,0.19,0.19,0.04,0.11,0.15,0.04,0.15
522,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,26-160,1994,27,14,1258,14,0,0.14,0.14,0,0.14,0.04,0.12,0.17,0.04,0.17
523,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,24-093,1997,28,28,2520,28,0.07,0,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
524,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,32-043,1989,28,15,1471,16.3,0.24,0.06,0.31,0.18,0.24,0.17,0.06,0.23,0.12,0.18
525,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,26-274,1994,19,12,1156,12.8,0,0.08,0.08,0,0.08,0.06,0.05,0.11,0.06,0.11
526,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,29-184,1991,29,24,2019,22.4,0.04,0.22,0.27,0.04,0.27,0.12,0.14,0.26,0.12,0.26
527,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,21-111,1999,24,2,603,6.7,0.45,0.3,0.75,0.45,0.75,0.46,0.15,0.61,0.46,0.61
528,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,30-212,1990,21,21,1877,20.9,0,0.29,0.29,0,0.29,0,0.12,0.12,0,0.12
529,Samuel Umtiti\Samuel-Umtiti,fr FRA,DF,Barcelona,27-156,1993,10,5,494,5.5,0,0,0,0,0,0,0,0,0,0
530,Enes Ünal\Enes-Unal,tr TUR,FW,Getafe,23-344,1997,21,9,863,9.6,0.1,0.21,0.31,0.1,0.31,0.18,0.1,0.28,0.18,0.28
531,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,32-021,1989,4,4,360,4,0,0,0,0,0,0,0,0,0,0
532,Eugeni Valderrama\Eugeni-Valderrama,es ESP,FWMF,Huesca,26-274,1994,3,1,115,1.3,0,0,0,0,0,0,0.06,0.06,0,0.06
533,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Granada,24-104,1997,19,13,1223,13.6,0,0,0,0,0,0.01,0,0.01,0.01,0.01
534,Manu Vallejo\Manu-Vallejo,es ESP,FW,Valencia,24-064,1997,25,8,835,9.3,0.54,0,0.54,0.54,0.54,0.45,0.04,0.48,0.45,0.48
535,Federico Valverde\Federico-Valverde,uy URU,MF,Real Madrid,22-271,1998,20,11,999,11.1,0.27,0.09,0.36,0.27,0.36,0.16,0.25,0.42,0.16,0.42
536,Raphaël Varane\Raphael-Varane,fr FRA,DF,Real Madrid,27-359,1993,27,27,2430,27,0.07,0,0.07,0.07,0.07,0.08,0,0.08,0.08,0.08
537,Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,25-009,1996,5,3,267,3,0,0,0,0,0,0.06,0,0.06,0.06,0.06
538,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,32-056,1989,11,0,81,0.9,1.11,0,1.11,1.11,1.11,0.31,0.21,0.52,0.31,0.52
539,Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,28-027,1993,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0
540,Lucas Vázquez\Lucas-Vazquez,es ESP,DFFW,Real Madrid,29-292,1991,24,21,1848,20.5,0.1,0.24,0.34,0.1,0.34,0.11,0.21,0.32,0.11,0.32
541,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,25-204,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0
542,Gabriel Veiga\Gabriel-Veiga,es ESP,MFDF,Celta Vigo,18-327,2002,5,1,113,1.3,0,0,0,0,0,0,0.03,0.03,0,0.03
543,Unai Vencedor Paris\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,20-155,2000,21,14,1237,13.7,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
544,Gonzalo Verdú\Gonzalo-Verdu,es ESP,DF,Elche,32-180,1988,29,29,2610,29,0,0.07,0.07,0,0.07,0.02,0.04,0.06,0.02,0.06
545,Mikel Vesga\Mikel-Vesga,es ESP,MF,Athletic Club,27-333,1993,22,15,1288,14.3,0,0.07,0.07,0,0.07,0.1,0.06,0.15,0.1,0.15
546,Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,26-359,1994,26,20,1876,20.8,0.05,0,0.05,0.05,0.05,0.02,0.01,0.02,0.02,0.02
547,Iñigo Vicente\Inigo-Vicente,es ESP,FW,Athletic Club,23-103,1998,2,0,33,0.4,0,0,0,0,0,0.1,0.56,0.65,0.1,0.65
548,Fede Vico\Fede-Vico,es ESP,MFFW,Granada,26-289,1994,14,7,494,5.5,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1
549,Aleix Vidal\Aleix-Vidal,es ESP,DF,Sevilla,31-241,1989,11,4,505,5.6,0,0.18,0.18,0,0.18,0,0.17,0.18,0,0.18
550,Nacho Vidal\Nacho-Vidal,es ESP,DF,Osasuna,26-085,1995,29,21,1969,21.9,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1
551,Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,26-102,1995,18,8,796,8.8,0.23,0,0.23,0.23,0.23,0.09,0.11,0.19,0.09,0.19
552,Asier Villalibre\Asier-Villalibre,es ESP,FW,Athletic Club,23-201,1997,27,9,1028,11.4,0.35,0.09,0.44,0.35,0.44,0.3,0.13,0.43,0.3,0.43
553,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,23-284,1997,14,12,1151,12.8,0,0,0,0,0,0,0,0,0,0
554,Vitolo\Vitolo,es ESP,MFFW,Atlético Madrid,31-168,1989,9,3,294,3.3,0,0,0,0,0,0.16,0.08,0.24,0.16,0.24
555,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,Atlético Madrid,29-099,1992,9,6,519,5.8,0,0,0,0,0,0,0,0,0,0
556,Nikola Vukčević\Nikola-Vukcevic,me MNE,MF,Levante,29-127,1991,13,11,810,9,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
557,Daniel Wass\Daniel-Wass,dk DEN,MFDF,Valencia,31-323,1989,30,30,2557,28.4,0.14,0.04,0.18,0.11,0.14,0.11,0.08,0.19,0.08,0.17
558,Shon Weissman\Shon-Weissman,il ISR,FW,Valladolid,25-064,1996,25,18,1541,17.1,0.23,0,0.23,0.23,0.23,0.2,0.05,0.25,0.2,0.25
559,Iñaki Williams\Inaki-Williams,es ESP,FW,Athletic Club,26-308,1994,30,26,2185,24.3,0.21,0.21,0.41,0.16,0.37,0.26,0.15,0.42,0.23,0.39
560,Jawad El Yamiq\Jawad-El-Yamiq,ma MAR,DF,Valladolid,29-049,1992,13,9,839,9.3,0,0.11,0.11,0,0.11,0.01,0,0.01,0.01,0.01
561,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,27-189,1993,9,9,810,9,0,0,0,0,0,0,0,0,0,0
562,Yoel\Yoel,es ESP,GK,Eibar,32-234,1988,3,2,210,2.3,0,0,0,0,0,0,0,0,0,0
563,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,Celta Vigo,27-041,1994,12,3,462,5.1,0,0,0,0,0,0.08,0.05,0.14,0.08,0.14
564,Joseba Zaldúa\Joseba-Zaldua,es ESP,DF,Real Sociedad,28-299,1992,8,5,493,5.5,0,0,0,0,0,0.01,0.09,0.1,0.01,0.1
565,Oier Zarraga\Oier-Zarraga,es ESP,MF,Athletic Club,22-105,1999,5,1,100,1.1,0,0,0,0,0,0.08,0.04,0.13,0.08,0.13
566,Igor Zubeldia\Igor-Zubeldia,es ESP,DF,Real Sociedad,24-020,1997,22,20,1847,20.5,0,0.05,0.05,0,0.05,0.04,0.04,0.07,0.04,0.07
567,Martín Zubimendi\Martin-Zubimendi,es ESP,MF,Real Sociedad,22-076,1999,24,13,1374,15.3,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05
568,Martin Ødegaard\Martin-Odegaard,no NOR,MFFW,Real Madrid,22-123,1998,7,3,234,2.6,0,0,0,0,0,0.04,0.15,0.19,0.04,0.19
