Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Sabit Abdulai\Sabit-Abdulai,gh GHA,MF,Getafe,21-341,1999,0.1,0,0,0,,0,0,,,
Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,29-171,1991,19.5,1,13,2,15.4,0.67,0.1,0.08,0.5,20.6
Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,22-062,1999,0.4,0,1,0,0,2.5,0,0,,17.5
Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,24-342,1996,11.8,0,2,0,0,0.17,0,0,,14.3
Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,25-200,1995,11.6,0,7,0,0,0.61,0,0,,17.6
Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,28-036,1993,4.9,0,0,0,,0,0,,,
Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,23-118,1997,4.2,0,0,0,,0,0,,,
Jony Álamo\Jony-Alamo,es ESP,MF,Elche,19-204,2001,0.8,0,1,0,0,1.23,0,0,,26
Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,32-027,1989,26.1,3,21,11,52.4,0.8,0.42,0.14,0.27,20.3
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,35-225,1985,28.6,0,7,1,14.3,0.24,0.03,0,0,14.5
Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,27-230,1993,13.3,5,30,13,43.3,2.25,0.97,0.13,0.31,14.1
Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,32-029,1989,8,0,1,0,0,0.12,0,0,,9
Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,29-351,1991,19.8,1,20,2,10,1.01,0.1,0.05,0.5,24.6
Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,26-066,1995,5.1,1,10,3,30,1.97,0.59,0.1,0.33,17.4
Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,23-102,1998,10.7,1,21,5,23.8,1.96,0.47,0.05,0.2,20.3
Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,23-102,1998,0.5,0,1,0,0,1.87,0,0,,17.5
Alfon\Alfon,es ESP,MF,Celta Vigo,21-348,1999,0.4,0,1,1,100,2.65,2.65,0,0,18.4
Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,29-084,1992,15.4,0,5,2,40,0.33,0.13,0,0,16.8
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,26-083,1995,18.6,1,10,1,10,0.54,0.05,0.1,1,12.5
Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,31-190,1989,6.6,0,5,1,20,0.76,0.15,0,0,12.7
Ángel\Angel,es ESP,GK,Granada,18-299,2002,1,0,0,0,,0,0,,,
Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,23-037,1998,1.5,0,1,0,0,0.67,0,0,,8.6
José Ángel\Jose-Angel,es ESP,DF,Eibar,31-224,1989,4.4,0,1,0,0,0.23,0,0,,29.1
José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,DF,Getafe,22-269,1998,0.1,0,1,0,0,12.86,0,0,,8
Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,23-076,1998,0.3,0,1,0,0,3.46,0,0,,7
Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,25-199,1995,27.7,3,38,7,18.4,1.37,0.25,0.08,0.43,24.9
Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,29-231,1991,21.8,0,5,0,0,0.23,0,0,,10.8
Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-041,1999,12.2,1,6,2,33.3,0.49,0.16,0.17,0.5,9.8
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,33-337,1987,23.2,0,22,1,4.5,0.95,0.04,0,0,28.4
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-106,1999,0.4,0,0,0,,0,0,,,
Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-199,2001,1.3,0,1,1,100,0.79,0.79,0,0,25.3
Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-293,1989,30,0,0,0,,0,0,,,
Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,25-086,1996,16.3,4,29,8,27.6,1.78,0.49,0.14,0.5,18.4
Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,33-259,1987,25.2,12,39,19,48.7,1.54,0.75,0.21,0.42,15.4
Miguel Atienza\Miguel-Atienza,es ESP,MFFW,Eibar,21-325,1999,1.6,0,1,0,0,0.63,0,0,,21
Ezequiel Ávila\Ezequiel-Avila,ar ARG,FW,Osasuna,27-070,1994,0.2,0,1,1,100,6.43,6.43,0,0,13
Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-126,1992,1.1,0,2,0,0,1.78,0,0,,13
Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-221,1986,6.3,2,15,8,53.3,2.38,1.27,0.13,0.25,13.1
Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-064,1992,30,0,0,0,,0,0,,,
Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-271,2001,1.4,0,2,1,50,1.44,0.72,0,0,24
Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-021,2000,5.5,1,11,2,18.2,1.99,0.36,0.09,0.5,14.1
Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-047,1988,10.8,0,2,1,50,0.19,0.09,0,0,30.7
Barcia\Barcia,es ESP,DF,Granada,20-107,2000,1,0,0,0,,0,0,,,
Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,25-289,1995,13.5,1,28,11,39.3,2.07,0.81,0.04,0.09,20.2
Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-016,1997,11.8,1,15,8,53.3,1.27,0.68,0.07,0.13,15
Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,21-237,1999,1,0,1,1,100,1,1,0,0,23.6
Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-309,1987,20.3,0,4,0,0,0.2,0,0,,14.4
Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-111,2001,10.7,3,18,6,33.3,1.68,0.56,0.17,0.5,18.6
Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-092,1991,13.8,0,11,4,36.4,0.8,0.29,0,0,18
Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-279,1991,21.5,0,11,3,27.3,0.51,0.14,0,0,14.4
Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-288,1995,2.7,0,7,2,28.6,2.64,0.75,0,0,16.2
Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-073,1999,10,3,16,6,37.5,1.59,0.6,0.19,0.5,19.3
Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-025,1999,0,0,0,0,,0,0,,,
Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-119,1987,25.2,19,101,42,41.6,4.01,1.67,0.19,0.45,14.6
Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-066,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19
Álex Berenguer\Alex-Berenguer,es ESP,FWMF,Athletic Club,25-287,1995,19,7,40,13,32.5,2.11,0.68,0.18,0.54,16.4
Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-214,1990,16.8,0,10,1,10,0.59,0.06,0,0,12.9
Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-122,1998,6.2,1,7,2,28.6,1.13,0.32,0.14,0.5,15.6
Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-266,1995,18.2,0,0,0,,0,0,,,
Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-067,1995,2.8,0,0,0,,0,0,,,
Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-012,1991,26,1,1,1,100,0.04,0.04,1,1,8
Lucas Boyé\Lucas-Boye,ar ARG,FW,Elche,25-048,1996,22.3,5,36,16,44.4,1.61,0.72,0.14,0.31,16.9
Martin Braithwaite\Martin-Braithwaite,dk DEN,FW,Barcelona,29-316,1991,12.2,2,22,7,31.8,1.8,0.57,0.09,0.29,11.6
Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,29-064,1992,5.6,1,4,2,50,0.71,0.36,0.25,0.5,17.4
Álvaro Bravo\Alvaro-Bravo,es ESP,MF,Granada,23-072,1998,0.2,0,0,0,,0,0,,,
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,38-004,1983,12,0,0,0,,0,0,,,
Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,23-234,1997,11,0,4,3,75,0.36,0.27,0,0,15.8
Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,23-083,1998,0.3,0,0,0,,0,0,,,
Bryan\Bryan,es ESP,FW,Sevilla,20-065,2001,0.1,0,0,0,,0,0,,,
Bryan\Bryan,es ESP,MFFW,Eibar,20-065,2001,19.5,3,31,9,29,1.59,0.46,0.1,0.33,17.9
Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,29-269,1991,12.8,7,36,15,41.7,2.81,1.17,0.19,0.47,11.2
Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,29-098,1992,11.3,3,3,2,66.7,0.26,0.18,0.33,0.5,18.5
Burgui\Burgui,es ESP,MF,Alavés,27-170,1993,0.2,0,0,0,,0,0,,,
Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,32-275,1988,21.1,0,1,1,100,0.05,0.05,0,0,24
Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,25-363,1995,14.7,0,4,0,0,0.27,0,0,,10.5
Cala\Cala,es ESP,DF,Cádiz,31-142,1989,22.7,2,11,4,36.4,0.48,0.18,0.18,0.5,13.9
Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,27-206,1993,16.3,4,47,16,34,2.88,0.98,0.09,0.25,13.7
Dani Calvo\Dani-Calvo,es ESP,DF,Elche,27-016,1994,12.8,2,6,3,50,0.47,0.23,0.33,0.67,9
José Campaña\Jose-Campana,es ESP,MF,Levante,27-321,1993,8.3,1,12,4,33.3,1.44,0.48,0,0,22.3
Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,30-060,1991,21.8,7,38,9,23.7,1.74,0.41,0.13,0.56,21.4
Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,29-068,1992,23.2,2,10,6,60,0.43,0.26,0.2,0.33,13.8
Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,32-280,1988,7.9,0,2,0,0,0.25,0,0,,17.6
Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,27-359,1993,22.8,0,7,3,42.9,0.31,0.13,0,0,24.3
Cárdenas\Cardenas,es ESP,GK,Levante,24-020,1997,3,0,0,0,,0,0,,,
Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,25-283,1995,0.6,0,1,1,100,1.7,1.7,0,0,8.5
Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,28-033,1993,24.5,1,13,5,38.5,0.53,0.2,0.08,0.2,10.1
Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,30-033,1991,3.2,0,4,1,25,1.24,0.31,0,0,11.7
Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,27-225,1993,16.5,3,25,16,64,1.51,0.97,0.12,0.19,18.1
Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,20-186,2000,2.9,1,2,1,50,0.69,0.35,0.5,1,8.1
Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,29-327,1991,9.5,3,20,6,30,2.1,0.63,0.15,0.5,12
Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,29-096,1992,9.5,0,10,2,20,1.06,0.21,0,0,23.4
William Carvalho\William-Carvalho,pt POR,MF,Betis,29-010,1992,12.2,2,13,6,46.2,1.07,0.49,0.15,0.33,16.3
Casemiro\Casemiro,br BRA,MF,Real Madrid,29-053,1992,25.5,5,33,8,24.2,1.29,0.31,0.15,0.63,16.3
Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,27-227,1993,8.2,0,2,1,50,0.24,0.12,0,0,9
Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,27-227,1993,0.1,0,1,0,0,6.92,0,0,,11
Chema\Chema,es ESP,DFMF,Getafe,29-045,1992,3.1,0,1,0,0,0.32,0,0,,48
Denis Cheryshev\Denis-Cheryshev,ru RUS,MF,Valencia,30-112,1990,9.9,0,20,5,25,2.03,0.51,0,0,18.7
Samuel Chukwueze\Samuel-Chukwueze,ng NGA,MFFW,Villarreal,21-330,1999,11.8,1,21,5,23.8,1.78,0.42,0.05,0.2,17.9
Víctor Chust\Victor-Chust,es ESP,DF,Real Madrid,21-043,2000,0.1,0,0,0,,0,0,,,
Cifu\Cifu,es ESP,DF,Elche,30-194,1990,4.8,0,3,0,0,0.62,0,0,,22.4
Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,41-323,1979,2,0,0,0,,0,0,,,
Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,31-360,1989,5,0,0,0,,0,0,,,
Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,29-055,1992,25.6,0,6,4,66.7,0.23,0.16,0,0,19.2
Coke\Coke,es ESP,DF,Levante,33-356,1987,6.7,0,4,1,25,0.6,0.15,0,0,17.1
Francis Coquelin\Francis-Coquelin,fr FRA,MF,Villarreal,29-339,1991,5.7,0,4,0,0,0.7,0,0,,18.2
Iñigo Córdoba\Inigo-Cordoba,es ESP,MF,Alavés,24-035,1997,2.4,0,1,0,0,0.42,0,0,,17
Iñigo Córdoba\Inigo-Cordoba,es ESP,FWMF,Athletic Club,24-035,1997,1.1,0,2,0,0,1.89,0,0,,16.6
Ángel Correa\Angel-Correa,ar ARG,FWMF,Atlético Madrid,26-039,1995,20.2,4,35,15,42.9,1.74,0.74,0.11,0.27,16.9
Rober Correa\Rober-Correa,es ESP,DF,Eibar,28-209,1992,7.5,0,1,0,0,0.13,0,0,,22.5
Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,22-039,1999,19.1,0,6,1,16.7,0.31,0.05,0,0,19.9
Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,32-192,1988,2.3,2,4,2,50,1.73,0.87,0.25,0.5,13.1
Jaume Costa\Jaume-Costa,es ESP,DFMF,Villarreal,33-030,1988,3.8,0,2,0,0,0.53,0,0,,15.2
Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,28-341,1992,30,0,0,0,,0,0,,,
Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-309,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17
Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-263,1992,19.5,0,1,0,0,0.05,0,0,,20.1
Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-224,1999,0,0,0,0,,0,0,,,
Cucho\Cucho,co COL,FWMF,Getafe,21-362,1999,15.8,2,26,11,42.3,1.64,0.7,0.08,0.18,15.6
Marc Cucurella\Marc-Cucurella,es ESP,MFFW,Getafe,22-269,1998,28.8,3,25,8,32,0.87,0.28,0.12,0.38,16.5
Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-104,1998,0.7,0,1,0,0,1.48,0,0,,16
Moussa Dembélé\Moussa-Dembele,fr FRA,MFFW,Atlético Madrid,24-279,1996,0.5,0,5,2,40,10.23,4.09,0,0,10.5
Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,23-337,1997,16.5,5,47,17,36.2,2.84,1.03,0.11,0.29,17.2
Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-165,2000,17.4,2,12,5,41.7,0.69,0.29,0.17,0.4,15.9
Deyverson\Deyverson,br BRA,FW,Alavés,29-344,1991,9.4,1,13,2,15.4,1.38,0.21,0.08,0.5,15.9
Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-331,1991,0.2,0,1,0,0,5,0,0,,14
Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-119,1996,17.9,1,9,4,44.4,0.5,0.22,0.11,0.25,10.5
Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-309,1988,5.8,0,5,1,20,0.86,0.17,0,0,26.7
Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-029,1986,21,1,18,6,33.3,0.86,0.29,0.06,0.17,17.5
Djené\Djene,tg TOG,DF,Getafe,29-107,1991,25.4,0,1,0,0,0.04,0,0,,9
Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-083,1992,27.7,1,1,0,0,0.04,0,0,,44
Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-163,1990,25,0,0,0,,0,0,,,
John Donald\John-Donald,es ESP,DF,Elche,20-230,2000,0.6,0,0,0,,0,0,,,
Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-218,1992,0.6,0,0,0,,0,0,,,
Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-003,1998,6.4,0,3,0,0,0.47,0,0,,17.8
Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-038,1995,23.4,1,7,2,28.6,0.3,0.09,0.14,0.5,8.2
Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-318,1989,17.9,1,5,3,60,0.28,0.17,0.2,0.33,8.6
Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-181,1995,24,0,9,0,0,0.38,0,0,,27.9
Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-158,1999,0.6,0,1,0,0,1.64,0,0,,1.4
Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-020,1994,14.4,0,4,0,0,0.28,0,0,,12.6
Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-165,1993,5.2,1,3,2,66.7,0.58,0.38,0.33,0.5,7.9
Emerson\Emerson,br BRA,DF,Betis,22-093,1999,25.2,1,8,2,25,0.32,0.08,0.13,0.5,19
Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-320,1997,19.7,15,58,22,37.9,2.94,1.11,0.26,0.68,12.5
Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-050,1990,11,2,26,7,26.9,2.36,0.63,0.08,0.29,9.6
Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-024,1998,7,1,7,1,14.3,1,0.14,0.14,1,15.7
Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-227,1989,4.8,1,5,1,20,1.04,0.21,0.2,1,18.7
Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-102,1992,24.9,0,6,4,66.7,0.24,0.16,0,0,23.8
Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-105,1999,2.6,0,1,0,0,0.39,0,0,,28
Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-086,1998,11.1,0,9,3,33.3,0.81,0.27,0,0,17.7
Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-168,1987,9.8,0,4,0,0,0.41,0,0,,8.5
Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-259,1996,23.3,0,34,7,20.6,1.46,0.3,0,0,23.6
Fali\Fali,es ESP,DFMF,Cádiz,27-248,1993,22.9,0,10,2,20,0.44,0.09,0,0,11.5
Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-168,2002,4.8,4,14,7,50,2.92,1.46,0.29,0.57,15.6
Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-273,1993,24.4,3,78,20,25.6,3.2,0.82,0.03,0.1,21.4
Felipe\Felipe,br BRA,DF,Atlético Madrid,31-336,1989,17.5,0,7,1,14.3,0.4,0.06,0,0,9.4
João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-158,1999,15.7,7,34,13,38.2,2.17,0.83,0.18,0.46,19.1
Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,29-349,1991,26,0,0,0,,0,0,,,
Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-184,1992,21.6,4,8,2,25,0.37,0.09,0.25,1,18.9
Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-004,1998,16,0,0,0,,0,0,,,
Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-121,1986,14,0,0,0,,0,0,,,
Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-007,1986,2.7,0,0,0,,0,0,,,
Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-330,1996,1.6,0,2,1,50,1.26,0.63,0,0,8.4
Carlos Fernández\Carlos-Fernandez,es ESP,FW,Real Sociedad,24-330,1996,2.5,0,3,2,66.7,1.18,0.79,0,0,12.4
Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-321,1996,18,1,5,1,20,0.28,0.06,0.2,1,8
Fernando\Fernando,br BRA,MF,Sevilla,33-266,1987,21.9,1,2,1,50,0.09,0.05,0.5,1,19
David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-016,1988,21.3,2,23,12,52.2,1.08,0.56,0.09,0.17,19.4
Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-034,1991,2.4,1,6,2,33.3,2.55,0.85,0.17,0.5,12.5
Fidel\Fidel,es ESP,MFDF,Elche,31-172,1989,20.2,4,9,3,33.3,0.45,0.15,0.22,0.67,22.7
Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-238,1996,2.7,1,1,1,100,0.37,0.37,1,1,3
Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-209,1998,0.5,0,0,0,,0,0,,,
Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-195,1989,0,0,0,0,,0,0,,,
José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-065,2000,5.1,0,5,3,60,0.97,0.58,0,0,13
Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-025,1993,21.6,0,5,3,60,0.23,0.14,0,0,16.3
Juan Foyth\Juan-Foyth,ar ARG,MFDF,Villarreal,23-095,1998,11,0,1,0,0,0.09,0,0,,6
Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-056,1997,16.8,4,21,10,47.6,1.25,0.6,0.19,0.4,17.1
Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-043,1991,4.1,0,1,0,0,0.25,0,0,,6
Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-149,1994,28.3,1,5,1,20,0.18,0.04,0.2,1,23.3
Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-217,1986,7.5,0,11,4,36.4,1.46,0.53,0,0,13.3
Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,33-343,1987,9,3,11,6,54.5,1.23,0.67,0.27,0.5,12.9
Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-293,1997,4,0,3,1,33.3,0.75,0.25,0,0,17.1
Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-166,1990,12.2,1,13,2,15.4,1.06,0.16,0.08,0.5,19
Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-328,1990,18.6,0,6,1,16.7,0.32,0.05,0,0,17
David García\David-Garcia,es ESP,DF,Osasuna,27-062,1994,28,1,13,1,7.7,0.46,0.04,0.08,1,11.4
Manu García\Manu-Garcia,es ESP,MF,Alavés,34-356,1986,10.4,0,8,1,12.5,0.77,0.1,0,0,15.6
Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,31-352,1989,5.6,1,3,3,100,0.54,0.54,0.33,0.33,18.8
Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-280,1986,17.9,4,39,9,23.1,2.18,0.5,0.05,0.22,17.2
Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-277,1993,25.5,3,26,7,26.9,1.02,0.27,0.08,0.29,23.5
Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-003,1999,0.2,0,0,0,,0,0,,,
Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-073,1992,10.2,0,3,0,0,0.29,0,0,,17.7
Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-144,1990,16.6,0,13,4,30.8,0.78,0.24,0,0,18.9
David Gil\David-Gil,es ESP,GK,Cádiz,27-096,1994,1,0,0,0,,0,0,,,
Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,29-333,1991,4.5,2,5,2,40,1.11,0.44,0.4,1,10.6
Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-261,1998,14.3,2,25,6,24,1.75,0.42,0.08,0.33,15.5
Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-157,1989,1.8,0,1,0,0,0.55,0,0,,19.6
Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-246,1996,24.4,5,48,20,41.7,1.97,0.82,0.1,0.25,17.5
Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-298,1994,23.5,3,19,9,47.4,0.81,0.38,0.11,0.22,16.9
Papu Gómez\Papu-Gomez,ar ARG,FWMF,Sevilla,33-061,1988,4.8,2,10,6,60,2.06,1.24,0.2,0.33,21.3
Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-020,1992,8,0,1,0,0,0.13,0,0,,13
Sergio Gómez\Sergio-Gomez,es ESP,FWMF,Huesca,20-225,2000,5.1,0,6,2,33.3,1.18,0.39,0,0,21.9
Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-038,1989,11.6,0,2,1,50,0.17,0.09,0,0,11
Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-328,1990,23.1,1,4,2,50,0.17,0.09,0.25,0.5,10
Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-079,1995,9.2,0,3,1,33.3,0.33,0.11,0,0,7.3
Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,23-338,1997,1,0,1,0,0,1,0,0,,7.6
Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-028,2001,0.5,0,0,0,,0,0,,,
Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-256,1996,20.6,0,9,2,22.2,0.44,0.1,0,0,21
Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-027,1991,21.4,8,53,22,41.5,2.48,1.03,0.15,0.36,14.7
Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-201,1986,10.9,0,8,4,50,0.73,0.37,0,0,22.4
Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-323,1991,17.8,1,28,7,25,1.57,0.39,0,0,16.1
Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MFDF,Sevilla,29-152,1991,9.2,0,6,1,16.7,0.65,0.11,0,0,30.5
